Accession,X100Tumor_0Stroma_0Lymphocyte_Other_N.A,X100Tumor_0Stroma_0Lymphocyte_Other_N.A.1,X87.5Tumor_12.5Stroma_0Lymphocyte_Other_N.A,X75Tumor_25Stroma_0Lymphocyte_Other_N.A,X50Tumor_50Stroma_0Lymphocyte_Other_N.A,X25Tumor_75Stroma_0Lymphocyte_Other_N.A,X12.5Tumor_87.5Stroma_0Lymphocyte_Other_N.A,X0Tumor_100Stroma_0Lymphocyte_Other_N.A,X0Tumor_100Stroma_0Lymphocyte_Other_N.A.1,X0Tumor_0Stroma_100Lymphocyte_Other_N.A,X0Tumor_0Stroma_100Lymphocyte_Other_N.A.1,X50Tumor_0Stroma_50Lymphocyte_Other_N.A,X75Tumor_0Stroma_25Lymphocyte_Other_N.A,X87.5Tumor_0Stroma_12.50Lymphocyte_Other_N.A,X93.75Tumor_0Stroma_6.25Lymphocyte_Other_N.A,X96.875Tumor_0Stroma_3.125Lymphocyte_Other_N.A
Q9H5V8,0.517417958117085,0.322074337691213,0.568422272070689,0.732850943897972,0.766747843668904,0.564667140571571,0.382709208513604,0.343794439173082,0.329762876536064,-1.53824196118377,-1.71440787070948,-0.13365778941356,0.193590764171332,0.504863893838136,0.371460896975841,0.489092529612921
Q9H5V9,-0.0563473367143531,-0.281112618248919,-0.371607017610292,-0.227910117924136,-0.96030822816132,-0.35599823199859,-0.543439370757272,-0.38814264454536,-0.254507176381416,0.328557924154152,0.275281630046576,0.0065633189041279,-0.130420840236901,-0.126332334486303,-0.187284974859389,0.0265055703111352
Q9H694,-0.117716748578437,-0.355734613852391,-0.285503559956931,-0.0867399808804474,0.20033866271709,0.369513745723688,0.735778927097671,0.399937463645258,0.513849232671572,-0.997086134742787,-0.865369887832251,-0.698080888598417,-0.515925843294865,-0.30903058590823,-0.0419329171556298,0.0612413055558316
Q9H6A0,-0.586828310400344,-0.579940632406266,-0.985874574834449,-0.672212733874367,-1.04360472114782,-1.0262637823096,-0.666705519442757,-0.648988366499174,-0.555487570160165,0.725278114700448,0.626592647182225,-0.199552534881935,-0.317162898230196,-0.355532143065223,-0.216906715581212,-0.381101477825696
Q9H6D7,0.0732453802246136,-0.501884795857864,-0.128821169925388,0.105336573297697,-0.129362023699275,-0.565042069953309,0.239292716864322,0.111843568996274,-0.0511352513615774,0.0735852660261794,0.147546185385817,-0.306570903394032,-0.0187406879559225,0.124866433209324,-0.063617801533445,-0.0736228355130906
Q9H6E5,-0.300014781301126,-0.322400732228825,-0.499468856768103,-0.383782992680205,0.0505233363451325,-0.0441307597777008,0.412355604848701,0.284411977047612,0.285497946931995,0.11978833181285,-0.30169613820781,-0.665412391130065,-0.510834732760654,-0.235685093712352,-0.124637035947182,-0.0445539973906973
Q9H6F5,-0.545346451731629,-0.591050082325561,-0.911700766313943,-0.336152833206162,-0.94379433631944,-0.230760515174261,0.25654520477301,0.264479151612098,0.0163296348186856,-0.11146173895923,-0.0498700871634428,-0.565692125493672,-0.691443825107622,-0.5878082190213,-0.537090694752728,-0.443701649279435
Q9H6I2,0.861148867874992,0.864987160335597,0.974552955367937,1.20616903381557,0.953155922693384,0.55391815681801,0.232296812246347,-0.418721203452064,-0.402764695851725,-1.34052702911191,-1.53222326625448,0.113473853640201,0.542421766893379,0.960720982516911,0.803185359363197,0.822986409472296
Q9H6K4,0.165107933468487,0.352680265514622,-0.317101327505049,-0.297004474916163,0.414584738393268,0.687290430269962,-0.264637518402596,0.01881331790253,0.259325743977464,1.07054676952985,-0.168226987827268,0.467818099664488,0.0642711039308269,-0.218155596189933,0.0616070711257125,0.275067554307892
Q9H6K5,-0.0243023691454597,0.381088825211017,0.473316867218865,0.464128213607535,0.712094663401489,0.924204722550617,0.551598032361703,0.625326334533552,0.79905934061108,-1.60926159586013,-1.27632147088988,-0.655081596290158,-0.254901027923377,0.138894264211703,0.162239705446009,0.24668415977299
